chh,p,0,0
chh,p,0,0
chh,p,0,0
cf,Q,2
chh,p,400,400
chh,p,0,0
chh,p,-400,-400
chh,p,0,0
chh,p,350,350
chh,p,0,0
chh,p,-350,-350
chh,p,0,0
chh,p,300,300
chh,p,0,0
chh,p,-300,-300
chh,p,0,0
chh,p,250,250
chh,p,0,0
chh,p,-250,-250
chh,p,0,0
chh,p,200,200
chh,p,0,0
chh,p,-200,-200
chh,p,0,0
chh,p,150,150
chh,p,0,0
chh,p,-150,-150
chh,p,0,0
chh,p,100,100
chh,p,0,0
chh,p,-100,-100
chh,p,0,0
chh,p,400,-400
chh,p,0,0
chh,p,-400,400
chh,p,0,0
chh,p,350,-350
chh,p,0,0
chh,p,-350,350
chh,p,0,0
chh,p,300,-300
chh,p,0,0
chh,p,-300,300
chh,p,0,0
chh,p,250,-250
chh,p,0,0
chh,p,-250,250
chh,p,0,0
chh,p,200,-200
chh,p,0,0
chh,p,-200,200
chh,p,0,0
chh,p,150,-150
chh,p,0,0
chh,p,-150,150
chh,p,0,0
chh,p,100,-100
chh,p,0,0
chh,p,-100,100
chh,p,0,0
chh,p,350,400
chh,p,0,0
chh,p,-350,-400
chh,p,0,0
chh,p,300,350
chh,p,0,0
chh,p,-300,-350
chh,p,0,0
chh,p,250,300
chh,p,0,0
chh,p,-250,-300
chh,p,0,0
chh,p,200,250
chh,p,0,0
chh,p,-200,-250
chh,p,0,0
chh,p,150,200
chh,p,0,0
chh,p,-150,-200
chh,p,0,0
chh,p,100,150
chh,p,0,0
chh,p,-100,-150
chh,p,0,0
chh,p,0,100
chh,p,0,0
chh,p,0,-100
chh,p,0,0
chh,p,400,350
chh,p,0,0
chh,p,-400,-350
chh,p,0,0
chh,p,350,300
chh,p,0,0
chh,p,-350,-300
chh,p,0,0
chh,p,300,250
chh,p,0,0
chh,p,-300,-250
chh,p,0,0
chh,p,250,200
chh,p,0,0
chh,p,-250,-200
chh,p,0,0
chh,p,200,150
chh,p,0,0
chh,p,-200,-150
chh,p,0,0
chh,p,150,100
chh,p,0,0
chh,p,-150,-100
chh,p,0,0
chh,p,100,0
chh,p,0,0
chh,p,-100,0
chh,p,0,0
chh,p,200,400
chh,p,0,0
chh,p,-200,-400
chh,p,0,0
chh,p,175,350
chh,p,0,0
chh,p,-175,-350
chh,p,0,0
chh,p,150,300
chh,p,0,0
chh,p,-150,-300
chh,p,0,0
chh,p,125,250
chh,p,0,0
chh,p,-125,-250
chh,p,0,0
chh,p,100,200
chh,p,0,0
chh,p,-100,-200
chh,p,0,0
chh,p,75,150
chh,p,0,0
chh,p,-75,-150
chh,p,0,0
chh,p,400,200
chh,p,0,0
chh,p,-400,-200
chh,p,0,0
chh,p,350,175
chh,p,0,0
chh,p,-350,-175
chh,p,0,0
chh,p,300,150
chh,p,0,0
chh,p,-300,-150
chh,p,0,0
chh,p,250,125
chh,p,0,0
chh,p,-250,-125
chh,p,0,0
chh,p,200,100
chh,p,0,0
chh,p,-200,-100
chh,p,0,0
chh,p,150,75
chh,p,0,0
chh,p,-150,-75
chh,p,0,0
chh,p,0,400
chh,p,0,0
chh,p,0,-400
chh,p,0,0
chh,p,0,350
chh,p,0,0
chh,p,0,-350
chh,p,0,0
chh,p,0,300
chh,p,0,0
chh,p,0,-300
chh,p,0,0
chh,p,0,250
chh,p,0,0
chh,p,0,-250
chh,p,0,0
chh,p,0,200
chh,p,0,0
chh,p,0,-200
chh,p,0,0
chh,p,0,150
chh,p,0,0
chh,p,0,-150
chh,p,0,0
chh,p,400,0
chh,p,0,0
chh,p,-400,0
chh,p,0,0
chh,p,350,0
chh,p,0,0
chh,p,-350,0
chh,p,0,0
chh,p,300,0
chh,p,0,0
chh,p,-300,0
chh,p,0,0
chh,p,250,0
chh,p,0,0
chh,p,-250,0
chh,p,0,0
chh,p,200,0
chh,p,0,0
chh,p,-200,0
chh,p,0,0
chh,p,150,0
chh,p,0,0
chh,p,-150,0
chh,p,0,0
c,s
chh,p,0,0
cf,Q,-1
chh,p,0,0
